Circuit,Date,Points
Italy,06 Sep 2020,17
Tuscany,13 Sep 2020,44
Russia,27 Sep 2020,41
Eifel,11 Oct 2020,25
Portugal,25 Oct 2020,44
Emilia Romagna,01 Nov 2020,44
Turkey,15 Nov 2020,25
Bahrain,29 Nov 2020,29
Sakhir,06 Dec 2020,7
Abu Dhabi,13 Dec 2020,33
